LNR,RESPONSE
1754,0.695
1770,0.47
1465,0.17
1470,0.18
1478,0.365
1782,0.1
1485,0.414
1519,0.23
1835,0.29
1522,0.44
1539,0.26
1853,0.2866666666666666
1856,0.08
2502,0.28
2182,0.37
2191,0.32
2522,0.11
2530,0.27
2215,0.49
2550,0.605
2570,0.22
2574,0.24
2579,0.5916666666666667
2247,0.48
2674,0.11
11434,0.43
11122,0.8
11127,0.25
11443,0.65
11170,0.705215325873571
11191,0.1
11198,0.525
10936,0.5226995435210133
11244,0.46
11247,0.38
11252,0.31
11259,0.5767043453850454
10945,0.14
10951,0.135
11271,0.66
10963,0.51
11282,0.32
11291,0.03
10980,0.28
10994,0.12
10998,0.705215325873571
11303,0.15
11630,0.35
11636,0.475
11949,0.46
11950,0.45
11956,0.68
11648,0.705215325873571
11653,0.27
11967,0.16
11972,0.31
11975,0.54
12110,0.40399999999999997
12113,0.48
11712,0.5
11716,0.2352335979844635
12000,0.38
11722,0.16
12023,0.705215325873571
12046,0.6
11762,0.5767043453850454
12071,0.2
12077,0.67
11785,0.68
11788,0.35
11790,0.19
11800,0.51
11806,0.27
11816,0.16
11505,0.35
11837,0.295
11531,0.25
11848,0.135
11854,0.11
11877,0.05
11563,0.18
11567,0.37
11894,0.22
11906,0.51
11917,0.705215325873571
11610,0.705215325873571
11923,0.295
12596,0.36
12603,0.04
12608,0.16
12633,0.46
12637,0.43
21484,0.5767043453850454
21184,0.25
21247,0.5666666666666667
20991,0.31
21018,0.3
21019,0.28
21047,0.3825
21054,0.54
21374,0.57
21392,0.64
21713,0.57
22019,0.225
22025,0.4
21722,0.49
21728,0.2
22039,0.705215325873571
22044,0.58
61900,0.44
62548,0.6166666666666667
63176,0.3308333333333333
64473,0.395
64779,0.6
64780,0.45666666666666667
64784,0.27
65105,0.705215325873571
65431,0.25
65433,0.41666666666666663
66055,0.16
66071,0.705215325873571
61280,0.36
61281,0.63
61284,0.43
61597,0.55
61606,0.03
62235,0.845
62240,0.21
62241,0.03
62555,0.63
62557,0.09866666666666667
62565,0.19
62566,0.5966666666666667
63515,0.49
63524,0.47
64797,0.15
65116,0.2352335979844635
75249,0.23
75253,0.5
75575,0.7421779956201822
76212,0.04
71422,0.17
72059,0.58
72060,0.45
72383,0.18
72386,0.29
72700,0.18
72715,0.11
73028,0.29
73346,0.13
73658,0.24
73662,0.55
73666,0.6725
73668,0.04
73985,0.26
74299,0.2
74310,0.05
74312,0.41
74619,0.3075
74620,0.06
74627,0.5
74938,0.15
74952,0.25
75911,0.28
75913,0.38
76221,0.19
76227,0.09333333333333334
71448,0.03
15887,0.19
15498,0.13
15504,0.32
15507,0.14
15521,0.73
24403,0.41
24100,0.34
24436,0.56
24440,0.23
24442,0.5226995435210133
24148,0.34
24149,0.09
24155,0.22
24458,0.25
24169,0.34
24477,0.56
24479,0.08
24486,0.3
24190,0.73
24515,0.32
24214,0.3
25183,0.705215325873571
25207,0.11
24889,0.73
24890,0.42
25226,0.166
25232,0.21333333333333335
25244,0.36
25339,0.26
25355,0.5166666666666666
24958,0.12
25277,0.23
25286,0.5
24988,0.705215325873571
25298,0.1425
25309,0.605
25315,0.12
25014,0.7421779956201822
25322,0.16
25333,0.31
25025,0.15238095238095237
24726,0.65
24735,0.5767043453850454
25055,0.36
25056,0.1
24746,0.32
25061,0.01
25067,0.12
25074,0.35
24773,0.1
25080,0.5767043453850454
25086,0.5342857142857143
25088,0.2
24777,0.44
24796,0.51
25104,0.48
24806,0.0
25118,0.14
24822,0.7421779956201822
82811,0.75
83449,0.52
83459,0.5767043453850454
83770,0.705215325873571
84091,0.1
84096,0.26
84737,0.18
85048,0.2561000244668176
85049,0.6175
85051,0.39
85369,0.38
85374,0.04
85380,0.24
82190,0.17
82505,0.4
82515,0.07
82517,0.41
82821,0.6106666666666667
83140,0.4683333333333334
788,0.03
1102,0.55
1109,0.17
821,0.11
829,0.17
837,0.48666666666666664
845,0.67
1163,0.34
861,0.5767043453850454
899,0.38
1207,0.69
906,0.41
1221,0.67
1545,0.15
1546,0.39
1555,0.3233333333333333
1556,0.54
1879,0.07
1885,0.32
1593,0.1
1902,0.685
1611,0.18
1921,0.04
1927,0.455
1651,0.23
1978,0.24
1718,0.2
1722,0.16
1734,0.12
41705,0.14
41711,0.705215325873571
41712,0.395
42029,0.5033333333333333
42347,0.01
42352,0.27
42353,0.125
42671,0.08
42987,0.17
43310,0.3566666666666667
43627,0.305
43629,0.38
43945,0.295
43953,0.21
43954,0.535
43961,0.36
44280,0.2
44917,0.54
44924,0.14
44927,0.4
45244,0.4333333333333333
45570,0.15
45584,0.23
41721,0.545
41739,0.705215325873571
42054,0.22
42369,0.49
42689,0.25
43019,0.11
43331,0.18
51328,0.14
51644,0.69
51653,0.47
51969,0.21
52308,0.49
52310,0.39
52626,0.41
52638,0.15
52940,0.6
52954,0.6325
55194,0.19466666666666665
55196,0.0
55526,0.705215325873571
55847,0.11
55848,0.5226995435210133
51024,0.705215325873571
51031,0.13
51342,0.6
51348,0.0
51666,0.37
51674,0.2
51680,0.405
52331,0.31
53302,0.5767043453850454
82163,0.53
82481,0.22
82498,0.03
55852,0.5767043453850454
55858,0.06
55859,0.31
51037,0.5767043453850454
51039,0.25
51683,0.29
51685,0.66
51695,0.08
51702,0.32
52343,0.4633333333333334
52353,0.2561000244668176
53314,0.705215325873571
53322,0.16
53950,0.44
54597,0.3
54925,0.05
55245,0.27
55558,0.5961666666666666
55882,0.1
51384,0.39399999999999996
51703,0.8140000000000001
51706,0.05
51711,0.69
52041,0.09
52047,0.37
52369,0.18
52689,0.41
53331,0.295
53341,0.0
63455,0.5
63780,0.16
63783,0.5767043453850454
64096,0.13
64104,0.03
64109,0.24
64422,0.44
65391,0.5226995435210133
65705,0.34
65709,0.345
61568,0.1
62203,0.1
62850,0.37
62851,0.5633333333333332
63164,0.04
63491,0.05
63796,0.595
63799,0.19
63802,0.43
63812,0.12
64127,0.41
64449,0.615
64771,0.28
65082,0.705215325873571
65399,0.05
66039,0.705215325873571
66048,0.07
71758,0.53
72077,0.5767043453850454
